Probability of Dying from Cancer
By Cancer Site
All Ages  All Races  Both Sexes
2013-2015 

"Cancer Site","&nbsp;&nbsp;&nbsp;Age&nbsp;&nbsp;","Probability of Dying from Cancer (%) by Age","Risk"
"Lung and Bronchus","Age 0","Age <br/>5",0.000
"Lung and Bronchus","Age 0","Age <br/>10",0.000
"Lung and Bronchus","Age 0","Age <br/>15",0.000
"Lung and Bronchus","Age 0","Age <br/>20",0.000
"Lung and Bronchus","Age 0","Age <br/>25",0.001
"Lung and Bronchus","Age 0","Age <br/>30",0.002
"Lung and Bronchus","Age 0","Age <br/>35",0.004
"Lung and Bronchus","Age 0","Age <br/>40",0.012
"Lung and Bronchus","Age 0","Age <br/>45",0.034
"Lung and Bronchus","Age 0","Age <br/>50",0.097
"Lung and Bronchus","Age 0","Age <br/>55",0.251
"Lung and Bronchus","Age 0","Age <br/>60",0.533
"Lung and Bronchus","Age 0","Age <br/>65",0.962
"Lung and Bronchus","Age 0","Age <br/>70",1.598
"Lung and Bronchus","Age 0","Age <br/>75",2.454
"Lung and Bronchus","Age 0","Age <br/>80",3.395
"Lung and Bronchus","Age 0","Age <br/>85",4.241
"Lung and Bronchus","Age 0","Age <br/>90",4.812
"Lung and Bronchus","Age 0","Age <br/>95",5.059
"Lung and Bronchus","Age 0","Age <br/>95+",5.148
"Lung and Bronchus","Age 5","Age <br/>5",
"Lung and Bronchus","Age 5","Age <br/>10",0.000
"Lung and Bronchus","Age 5","Age <br/>15",0.000
"Lung and Bronchus","Age 5","Age <br/>20",0.000
"Lung and Bronchus","Age 5","Age <br/>25",0.001
"Lung and Bronchus","Age 5","Age <br/>30",0.002
"Lung and Bronchus","Age 5","Age <br/>35",0.004
"Lung and Bronchus","Age 5","Age <br/>40",0.012
"Lung and Bronchus","Age 5","Age <br/>45",0.034
"Lung and Bronchus","Age 5","Age <br/>50",0.099
"Lung and Bronchus","Age 5","Age <br/>55",0.254
"Lung and Bronchus","Age 5","Age <br/>60",0.539
"Lung and Bronchus","Age 5","Age <br/>65",0.973
"Lung and Bronchus","Age 5","Age <br/>70",1.616
"Lung and Bronchus","Age 5","Age <br/>75",2.481
