
"Cancer Site","Cancer Free Age","Probability of Developing Cancer (%) by Age","Risk"
"All Sites","Age 0","Age <br/>5",0.107
"All Sites","Age 0","Age <br/>10",0.177
"All Sites","Age 0","Age <br/>15",0.253
"All Sites","Age 0","Age <br/>20",0.369
"All Sites","Age 0","Age <br/>25",0.548
"All Sites","Age 0","Age <br/>30",0.833
"All Sites","Age 0","Age <br/>35",1.273
"All Sites","Age 0","Age <br/>40",1.925
"All Sites","Age 0","Age <br/>45",2.925
"All Sites","Age 0","Age <br/>50",4.457
"All Sites","Age 0","Age <br/>55",6.783
"All Sites","Age 0","Age <br/>60",10.018
"All Sites","Age 0","Age <br/>65",14.244
"All Sites","Age 0","Age <br/>70",19.420
"All Sites","Age 0","Age <br/>75",24.825
"All Sites","Age 0","Age <br/>80",29.833
"All Sites","Age 0","Age <br/>85",33.879
"All Sites","Age 0","Age <br/>90",36.562
"All Sites","Age 0","Age <br/>95",37.835
"All Sites","Age 0","Age <br/>95+",38.379
"All Sites","Age 5","Age <br/>5",
"All Sites","Age 5","Age <br/>10",0.071
"All Sites","Age 5","Age <br/>15",0.148
"All Sites","Age 5","Age <br/>20",0.265
"All Sites","Age 5","Age <br/>25",0.446
"All Sites","Age 5","Age <br/>30",0.734
"All Sites","Age 5","Age <br/>35",1.179
"All Sites","Age 5","Age <br/>40",1.839
"All Sites","Age 5","Age <br/>45",2.849
"All Sites","Age 5","Age <br/>50",4.399
"All Sites","Age 5","Age <br/>55",6.751
"All Sites","Age 5","Age <br/>60",10.021
"All Sites","Age 5","Age <br/>65",14.294
"All Sites","Age 5","Age <br/>70",19.527
"All Sites","Age 5","Age <br/>75",24.993
"All Sites","Age 5","Age <br/>80",30.056
"All Sites","Age 5","Age <br/>85",34.147
"All Sites","Age 5","Age <br/>90",36.860
"All Sites","Age 5","Age <br/>95",38.147
"All Sites","Age 5","Age <br/>95+",38.697
"All Sites","Age 10","Age <br/>5",
"All Sites","Age 10","Age <br/>10",
"All Sites","Age 10","Age <br/>15",0.077
"All Sites","Age 10","Age <br/>20",0.194
"All Sites","Age 10","Age <br/>25",0.376
"All Sites","Age 10","Age <br/>30",0.664
"All Sites","Age 10","Age <br/>35",1.110
"All Sites","Age 10","Age <br/>40",1.770
"All Sites","Age 10","Age <br/>45",2.782
"All Sites","Age 10","Age <br/>50",4.333
"All Sites","Age 10","Age <br/>55",6.688
"All Sites","Age 10","Age <br/>60",9.963
"All Sites","Age 10","Age <br/>65",14.241
